pmid,title,abstract,label,model_prob,mentions_consciousness,mentions_awareness,mentions_anesthesia,mentions_coma,mentions_vegetative,mentions_minimally_conscious,mentions_locked_in,mentions_sedation,mentions_arousal,mentions_neural,mentions_philosophy,mentions_qualia,mentions_subjective,mentions_phenomenology,mentions_report,mentions_religion,mentions_global_workspace,mentions_iit,mentions_mind_brain_identity,mentions_orch_or,mentions_panpsychism,mentions_dualism,mentions_monism,mentions_electromagnetic,mentions_neural_correlates,mentions_physicalism,mentions_edelman,mentions_crick,mentions_koch,mentions_dennett,mentions_baars,mentions_mcfadden,mentions_searle,mentions_chalmers,mentions_dehaene,mentions_tononi,mentions_friston,len_abstract_over_250,pred,mismatch,abs_margin
31059425,Novel Signal Processing Technique for Capture and Isolation of Blink-Related Oscillations Using a Low-Density Electrode Array for Bedside Evaluation of Consciousness.,"OBJECTIVE: Blink-related oscillations derived from electroencephalography (EEG) have recently emerged as an important measure of awareness. Combined with portable EEG hardware with low-density electrode arrays, this neural marker may crucially augment the existing bedside assessments of consciousness in unresponsive patients. Nonetheless, the close relationship between signal characteristics of the neural response of interest and blink-induced oculomotor artifacts poses particular challenges when measuring blink-related oscillations using a point-of-care platform. This study presents a novel denoising approach based on time-frequency (TF) filtering that exploits the differential temporal and spectral features to isolate the neural response from ocular artifact in a low-density array. METHODS: We investigated the effectiveness of the TF filtering technique using 64-channel EEG data collected in healthy adults, with focal analysis of the Pz and POz channels. RESULTS: TF filtering showed comparable performance in denoising the signal relative to the established gold-standard independent component analysis approach, with strong similarities in morphological characteristics as measured by intraclass correlations (p < 0.001), extent of artifact rejection based on the ocular contamination index (p < 0.006), as well as time- and frequency-domain signal capture (p < 0.05). Results are robust at the individual and group levels, and are crucially validated using raw data from only four electrodes comprising Pz, POz, Fp2, and T7. CONCLUSION: These results demonstrate for the first time that TF filtering enables the successful capture and isolation of the blink-related oscillations response using a four-electrode array. SIGNIFICANCE: This significantly advances the translation of the blink-related oscillations marker to a point-of-care platform for eventual bedside applications.",0,0.6304992139834740,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.1304992139834740
30039244,Disorders of Consciousness in China.,"With the development of modern international medicine, the subject of disorders of consciousness (DOCs) has begun to be raised in mainland China. Much progress has been made to date in several specialties related to the management of chronic DOC patients in China. In this article, we briefly review the present status of DOC studies in China, specifically concerning diagnosis, prognosis, therapy, and rehabilitation. The development of DOC-related scientific organizations and activities in China are introduced. Some weaknesses that need improvement are also noted. The current program provides a good foundation for future development.",0,0.6300607938863820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.13006079388638200
2634213,[Errors in nursing: in cardiac rehabilitation; during observation of the consciousness level].,,0,0.6263895360577330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.1263895360577330
19059583,On the signals underlying conscious awareness of action.,"To investigate whether conscious judgments of movement onset are based solely on pre-movement signals (i.e., premotor or efference copy signals) or whether sensory feedback (i.e., reafferent) signals also play a role, participants judged the onset of finger and toe movements that were either active (i.e., self initiated) or passive (i.e., initiated by the experimenter). Conscious judgments were made by reporting the position of a rotating clock hand presented on a computer screen and were then compared to the actual measured time of movement onset. In line with previous studies, judgment errors were found to be anticipatory for both finger and toe movements. There was a significant difference between judgment errors for active and passive movements, with judgments of active movements being more anticipatory than judgments of passive movements. This is consistent with a pre-movement (from here on referred to as an ""efferent"") account of action awareness because premotor and efference copy signals are only present in active movements, whereas the main source of movement information in passive movements is sensory feedback which is subject to time delays of conduction (and hence predicts later judgment times for passive movements). However, judgments of active toe movement onset time were less anticipatory than judgments of active finger movement onset time. This pattern of results is not consistent with a pure efferent account of conscious awareness of action onset - as this account predicts more anticipatory judgments for toe movements compared to finger movements. Instead, the data support the idea that conscious judgments of movement onset are based on efferent (i.e., premotor, efference copy) and reafferent (i.e., feedback from the movement) components.",0,0.6187454213296200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.11874542132962000
18175088,G-protein-coupled receptors.,"G-Protein-coupled receptors mediate many of the hypnotic and analgesic actions of the drugs employed in anesthesia. Notably, opioid agonists represent the most successful and efficacious class of analgesic agents employed over the last century. Also, major clinical advances have been made by the study of alpha(2) adrenoceptor agonists, which possess both hypnotic and analgesic qualities that are being increasingly exploited in both anesthetic and critical care settings. Furthermore orexin, gamma-aminobutyric acid (GABA) (B), and muscarinic cholinergic receptors have been identified as potential anesthetic targets; clinical exploitation of ligands at these receptors may lead to important advances in anesthetic pharmacology. In this review we discuss the relevant molecular and neural network pharmacology of anesthetic agents acting at G-protein-coupled receptors.",1,0.3814915882869030,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,0.11850841171309700
26327171,Healing Through States of Consciousness: Animal Sacrifice and Christian Prayer Among the Kachin in Southwest China.,"Healing rituals can be understood in terms of configurations of two states of consciousness-a culturally elaborated everyday waking consciousness, and an enhanced and culturally elaborated state of consciousness. Two healing rituals performed by the ethnic Kachin in Southwest China differentiate these two states of consciousness in their theories of life and death. The first ritual, animal sacrifice, employs the ordinary consciousness, including will and expectation, of participants through the enhanced state of consciousness of the ritual officiant. The second, Christian prayer, utilizes the enhanced consciousness of Christian Congregation to achieve psychic transformation. These two rituals maneuver different configurations of the two states of consciousness in achieving healing efficacy.",0,0.6112468744134110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.1112468744134110
30459382,Lab-grown 'mini brains' produce electrical patterns that resemble those of premature babies.,,1,0.39044284677855100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.10955715322144900
27003264,Altered states of consciousness are related to higher sexual responsiveness.,"Altered states of consciousness lead to profound changes in the sense of self, time and space. We assessed how these changes were related to sexual responsiveness during sex. 116 subjects reported (a) intensity of awareness concerning body, space and time, and (b) satisfaction, desire, arousal, and orgasm occurrence. We differentiated vaginal intercourse orgasm from noncoital orgasm. Female vaginal intercourse orgasm was further differentiated as with or without concurrent clitoral masturbation. Overall, sexual responsiveness was related to greater body awareness and lesser time and space awareness. Satisfaction, desire, and arousal were especially associated with less time awareness in women. Female orgasms during vaginal intercourse were related to greater body awareness and lesser time awareness, but noncoital orgasms were unrelated. Our findings provide empirical support for the hypotheses that altered states of consciousness with attentional absorption are strongly related to sexual responsiveness in women, and to a lesser extent in men.",0,0.6063132312147820,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.10631323121478200
22928842,Extending communication for patients with disorders of consciousness.,"BACKGROUND AND PURPOSE: The difficulty of distinguishing disorders of consciousness from certain disorders of communication leads to the possibility of false diagnosis. Our aim is to communicate with patients with disorders of consciousness through asking them to answer questions with ""yes/no"" by performing mental imagery tasks using functional magnetic resonance imaging (fMRI). METHODS: A 1.5 T fMRI study with 5 patients and a control group is presented. Speech comprehension, mental imagery, and question-answer tests were performed. RESULTS: The imagery task of mental calculation produced equally distinct activation patterns when compared to navigation and motor imagery in controls. For controls, we could infer answers to questions based on imagery activations. Two patients produced activations in similar areas to controls for certain imagery tasks, however, no activations were observed for the question-answer task. CONCLUSIONS: The results from 2 patients provide independent support of similar work by others with 3 T fMRI, and demonstrate broader clinical utility for these tests at 1.5 T despite lower signal-to-noise ratio. Based on the control results, mental calculation adds a robust imagery task for use in future studies of this kind.",1,0.39898556042128100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,0.10101443957871900
28684383,Preventing Prescription Drug Misuse in Work Settings: Efficacy of a Brief Intervention in Health Consciousness.,"BACKGROUND: It is becoming more commonplace for employees to use prescription medication outside of intended use. Opioid and other prescription misuse has implications for the health and productivity of workers. Easy-to-access webinars that help employees learn about alternatives to prescription use may decrease risk. OBJECTIVE: The aim of this study was to examine the efficacy of an interactive but brief health consciousness and prescription drug intervention for a diverse sample of employees and show effectiveness via both Internet-delivered webinar and classroom delivery. METHODS: Employees from a variety of workplaces filled out pre- and post-questionnaires upon completion of a one-hour long intervention. RESULTS: A total of 114 participants completed the pre- and post-questionnaires. Results showed that, compared with before the training, participants reported significantly more knowledge about prescription drug misuse and alternatives to prescription drug use after the training (t(113)=7.91, P<.001). Moreover, the medium of presentation (ie, face-to-face vs webinar) did not significantly impact effectiveness of the training (F(1,98)=1.15, P=.29). CONCLUSIONS: In both webinar and classroom formats, participants gained knowledge about alternatives to prescription drug use. This intervention appears to be beneficial to employees and assists in the awareness of prescription drug use in general and in the workplace.",0,0.5997885755143470,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.09978857551434660
23260187,Disorders of consciousness: are we ready for a paradigm shift?,,0,0.5931342763599030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.09313427635990250
2583386,[The action of dilantin on the state of consciousness].,,0,0.5894251535605200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.08942515356051990
261263,Drug abuse and altered consciousness.,,0,0.5864496909881340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.08644969098813350
16739907,[Arousal disorders].,"Altered states of consciousness are a common reason for visits to the emergency room and admission to intensive care unit. Management of unconscious patient can be difficult because the potential causes of an altered mental status are considerable and the time for diagnosis and effective intervention is short. First, the patient must airway, breathing, and circulation protected. It is important to obtain carefully taken history from eyewitnesses and to perform a general complete examination particularly neurologic focusing on pupillary responses, eye movements, and motor responses. Technical investigations like CT-scan and laboratory tests should make part of a careful diagnostic plan. The prognosis for recovery depends greatly on the underlying etiology as well as its optimal treatment, which seeks to preserve neurologic function and maximize the potential for recovery by reversing the primary cause of brain injury, if known, and preventing secondary brain injury from anoxia, ischemia, hypoglycemia, cerebral edema, and electrolyte disturbances.",0,0.5770285062259330,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.07702850622593290
18216157,Human conscious response to thermal input is adjusted to changes in mean body temperature.,"OBJECTIVE AND DESIGN: To detect the dependable criteria of behavioural thermoregulation through modelling temperature fluctuations of individuals allowed to freely manipulate inlet water temperature of a liquid conditioning garment (LCG) during 130 min of passive exposure to -20 degrees C interspersed with a 10 min period of moderate exercise at the 65th minute using a double-blind experiment. PARTICIPANTS: Eleven volunteers (5 women; 23.40 (SD 2.09) years; BMI: 23.24 (SD 2.19)) who lacked previous experience with LCG and cold exposure experiments. RESULTS: Despite variations in core and skin temperatures, thermal comfort, thermal sensation, and mean body temperature did not fluctuate significantly over time. Participants were able to find a desired level of LCG inlet temperature within 25 minutes which was maintained at similar levels until the 65th minute of the cold exposure. During exercise, LCG inlet water temperature decreased significantly. Regression models demonstrated that mean skin temperature and change in mean body temperature were significantly associated with thermal comfort and thermal sensation. Subsequent models revealed that, although all temperature variables were associated with LCG inlet water temperature, the coefficient of determination mainly depended on mean skin temperature and change in mean body temperature. The involvement of skin temperature was anticipated as the liquid conditioning garment was in contact with the skin. CONCLUSIONS: Humans generate conscious thermoregulatory responses in resting and exercise conditions during exposures to cold environments that are aimed towards maintaining a threshold mean body temperature, rather than temperature changes in individual body regions.",0,0.5741671609048100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.0741671609048099
650884,[A case of a successful weaning from controlled ventillation by means of IMV in a patient with disturbed consciousness (author's transl)].,,0,0.5669909129192090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.06699091291920920
28355807,The chemosensory brain requires a distributed cellular mechanism to harness information and resolve conflicts - is consciousness the forum?,"The central nervous system (CNS) evolved from a chemosensory epithelium, but a simple epithelium has limited means to resolve conflicts between early drives (e.g., approach vs. avoid). Understanding the role of ""consciousness"" as a resolution device, with specific focus on chemosensation and the olfactory system, is of appeal. I argue that consciousness is not the adjudicator, but is instead the forum that brings conflicting (conscious) inputs into a form that allows them to be (unconsciously) compared/contrasted, guiding rational action.",1,0.44245966702809900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,0.057540332971901300
12925496,Sedative effects of morphine and clonidine.,,0,0.5484490606051970,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.048449060605196900
28124464,Patients' experience of thirst while being conscious and mechanically ventilated in the intensive care unit.,"BACKGROUND: Because of changes in sedation strategies, more patients in the intensive care unit (ICU) are conscious. Therefore, new and challenging tasks in nursing practice have emerged, which require a focus on the problems that patients experience. Thirst is one such major problem, arising because the mechanical ventilator prevents the patients from drinking when they have the urge to do so. To gain a deeper understanding of the patients' experiences and to contribute new knowledge in nursing care, this study focuses on the patients' experiences of thirst during mechanical ventilation (MV) while being conscious. AIMS: To explore patients' experience of thirst while being conscious and mechanically ventilated. DESIGN: This hermeneutic study used qualitative interviews of 12 patients. METHOD: Data were analyzed based on content analysis. Interviews were conducted between September and October 2014 in two large ICUs in Denmark. RESULT: Four themes relating to the patients' experiences of thirst during MV were identified: a paramount thirst, a different sense in the mouth, deprivation of the opportunity to quench thirst and difficulties associated with thirst. CONCLUSION: Patients associate feelings of desperation, anxiety and powerlessness with the experience of thirst. These feelings have a negative impact on their psychological well-being. A strategy in the ICU that includes no sedation for critically ill patients in need of MV introduces new demands on the nurses who must care for patients who are struggling with thirst. RELEVANCE TO CLINICAL PRACTICE: This study shows that despite several practical attempts to relieve thirst, it remains a paramount problem for the patients. ICU nurses need to increase their focus on issues of thirst and dry mouth, which are two closely related issues for the patients. Communication may be a way to involve the patients, recognize and draw attention to their problem.",0,0.5444564872698730,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.044456487269872800
20369490,[Monitoring depth of anesthesia: a comparision between electroencephalographic nonlinear index and bispectral index].,"OBJECTIVE: To compare the efficiency and accuracy of electroencephalographic nonlinear index (ENI) and bispectral index (BIS) in monitoring depth of anesthesia during general anesthesia. METHODS: Thirty patients undergoing elective abdominal surgery were recruited. The ability of ENI and BIS to distinguish between the anesthetic states (awake, loss of eyelash reflex, loss of response, steady anesthesia, first reaction and extubation) was analyzed with prediction probability (Pk). Correlation between ENI and BIS was tested by nonparametric Spearman rank correlation analysis, with data paired from awake through to extubation. The clinical performances of ENI and BIS were evaluated with success rate, responsiveness, and recovery time. RESULTS: ENI and BIS were better than mean arterial pressure (MAP) and heart rate (HR) for distinguishing between the states of anesthesia. ENI correlated strongly with BIS from the stage of awake through to extubation (r = 0.93). No differences were found between ENI and BIS in success rate and responsiveness; but the recovery time was shorter with ENI than with BIS. CONCLUSION: ENI and BIS provide similar information reflecting the states of anesthesia, which allows accurate distinguishment between different states of anesthesia. The clinical performance of ENI is better than that of BIS.",0,0.5380046788612920,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.03800467886129220
439759,[Neurophysiological principles of consciousness].,,0,0.5362824072660430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.036282407266042700
22693887,What caused this patient's change in mental status?,,0,0.5323273876588880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.03232738765888820
3791778,[A case of prolonged consciousness disturbance with periodic synchronous discharge after fulminant hepatitis].,,0,0.5274429169209220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.0274429169209216
9636942,Disturbance of consciousness due to methamphetamine abuse. A study of 2 patients.,"The present paper reports 2 cases of methamphetamine abuse. Following consecutive methamphetamine administration, the patients developed acute intoxication, during which time they showed a unique type of disturbance of consciousness: delirium and twilight state. In both cases, mental status changed, passing through three distinct stages: restlessness and insomnia, hallucinatory paranoid state, and disturbance of consciousness. A review of the literature suggests that disturbance of consciousness may occur occasionally during the course of amphetamine and methamphetamine intoxication, although these symptoms can be overlooked easily due to confounding symptomatology.",0,0.5257931991886000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.025793199188599500
